,label,judul,Unnamed: 0,stop
0,1,pemakaian masker menyebabkan penyakit legionnaires,,pakai masker sebab sakit legionnaires
1,1,foto jim rohn jokowi presiden terbaik dlm sejarah bangsa indonesia,,foto jim rohn jokowi presiden baik sejarah bangsa indonesia
2,1,politik kenyataan jokowi berhasil memulangkan triliun uang negara swiss,,politik nyata jokowi hasil pulang triliun uang negara swiss
3,1,menguasai negri,,kuasa negri
4,1,foto presiden italia menangis lahan mengubur korban corona,,foto presiden italia menang lahan kubur korban corona
5,1,kapolres timor utara nusa tenggara timur klarifikasi terkait video polisi diamkan korban kecelakaan,,kapolres timor utara nusa tenggara timur klarifikasi kait video polisi diam korban celaka
6,1,corona hoaks,,corona hoaks
7,1,mulan jameela undur dpr ri,,mulan jameela undur dpr ri
8,1,presiden cina xi jinping mengunjungi masjid umat islam berdoa negeri dilanda krisis,,presiden cina xi jinping unjung masjid umat islam doa negeri landa krisis
9,1,video jokowi pucat sby pelaku korupsi,,video jokowi pucat sby laku korupsi
10,1,all jakarta water park,,all jakarta water park
11,1,pergantian kartu keluarga warga dki jakarta,,ganti kartu keluarga warga dki jakarta
12,1,almarhum habibie formasi jas merah mob umm,,almarhum habibie formasi jas merah mob umm
13,1,petugas tewas tersetrum perbaikan listrik,,tugas tewas setrum baik listrik
14,1,tv negeri memberitakan prabowo the next presiden,,tv negeri berita prabowo the next presiden
15,1,memerangi allah of kung fu,,rang allah of kung fu
16,1,permen susu mengandung narkoba,,permen susu kandung narkoba
17,1,foto petinggi kepolisian mengizinkan demo neo pki,,foto petinggi polisi izin demo neo pki
18,1,video dokter bule,,video dokter bule
19,1,vietnam korban meninggal teh lemon,,vietnam korban tinggal teh lemon
20,1,orang terinfeksi virus corona parepare,,orang infeksi virus corona parepare
21,1,marak lowongan kerja mengatasnamakan perusahaannya pt inalum masyarakat waspada,,marak lowong kerja mengatasnamakan usaha pt inalum masyarakat waspada
22,1,presiden jokowi melecehkan bendera merah putih,,presiden jokowi leceh bendera merah putih
23,1,berbau jawa jayapura hancur,,bau jawa jayapura hancur
24,1,bahaya semutkutu jepang utk diabetes,,bahaya semutkutu jepang utk diabetes
25,1,dedi mulyadi menghamili siswi mts,,dedi mulyadi hamil siswi mts
26,1,tuduh curi medali milik bambang pamungkas muhammad yusuf buka suara,,tuduh curi medali milik bambang pamungkas muhammad yusuf buka suara
27,1,malam jam pagi mengelilingi kabah,,malam jam pagi keliling kabah
28,1,rombongan aniessandi ditilang miliki izin patwal puncak bogor,,rombong aniessandi tilang milik izin patwal puncak bogor
29,1,foto john kei disunting,,foto john kei sunting
30,1,pembubabaran pengajian ustad khalid basalamah banser nu,,pembubabaran aji ustad khalid basalamah banser nu
31,1,video kecelakaan maut air terjun uluk til belu ntt,,video celaka maut air terjun uluk til belu ntt
32,1,aliran komunis gerakan pki bangkit pdip,,alir komunis gera pki bangkit pdip
33,1,pasukan tentara membantu melawan virus corona new york,,pasu tentara bantu lawan virus corona new york
34,1,video keluyuran diluar rumah malaysia ditembak api pakai drone,,video keluyur luar rumah malaysia tembak api pakai drone
35,1,jokowi halal dilengserkan,,jokowi halal lengser
36,1,sandiwara dagelan koplax perskusi sendiridi viralkan sendiridi laporkan maaf memaafkan,,sandiwara dagel koplax perskusi sendiridi viralkan sendiridi lapor maaf maaf
37,1,beredar surat rekrutmen satpol pp kepala satpol pp damkar sintang angkat bicara,,edar surat rekrutmen satpol pp kepala satpol pp damkar sintang angkat bicara
38,1,khoirul anwar penemu lte,,khoirul anwar temu lte
39,1,video polisi tembak saksi rekap pleno kpu,,video polisi tembak saksi rekap pleno kpu
40,1,media menyiarkan demo ruu hip,,media siar demo ruu hip
41,1,pembakar bendera pdip anggota simpatisan pdip,,bakar bendera pdip anggota simpatisan pdip
42,1,ucapan bela sungkawa presiden dr team medis yg berguguran dimedan,,ucap bela sungkawa presiden dr team medis gugur medan
43,1,judul artikel dilaporkan pdip sukmawati ditahan orang kuat,,judul artikel lapor pdip sukmawati tahan orang kuat
44,1,video berita terbaru sri mulyani sanggup serahkan tugasnya rizal ramli,,video berita baru sri mulyani sanggup serah tugas rizal ramli
45,1,rsud jakarta depok ditutup karyawan positif,,rsud jakarta depok tutup karyawan positif
46,1,wna diangkat direksi bumn,,wna angkat direksi bumn
47,1,sakitnya diagnosa nya covid,,sakit diagnosa covid
48,1,miscaptioned wolfpack photo,,miscaptioned wolfpack photo
49,1,vaksin kali kekhalifahan ottoman,,vaksin kali khalifah ottoman
50,1,profesor dr tasuku honjo virus korona alami cina membuatnya,,profesor dr tasuku honjo virus korona alami cina buat
51,1,foto anak durhaka berubah buaya gunung picung kecamatan tenjolaya kabupaten bogor,,foto anak durhaka ubah buaya gunung picung camat tenjolaya kabupaten bogor
52,1,keren yahmobil sitaanmasih keluarmaha lembaga tersuci,,keren yahmobil sitaanmasih keluarmaha lembaga suci
53,1,oktober prabowosandi dilantik,,oktober prabowosandi lantik
54,1,ahok gantikan maruf amin,,ahok ganti maruf amin
55,1,antenna in your mask,,antenna in your mask
56,1,jerman awan hitam tedengar suara adzan lingkungan tdk masjid,,jerman awan hitam tedengar suara adzan lingkung tdk masjid
57,1,film kapten amerika capten steve bangun modern lihat virus corona,,film kapten amerika capten steve bangun modern lihat virus corona
58,1,jaga jarak mutusin matarantai eh konser rame doi,,jaga jarak mutusin matarantai eh konser rame doi
59,1,menag izinkan masjid gelar salat tarawih pandemi,,menag izin masjid gelar salat tarawih pandemi
60,1,area kantor nokia menara mulia dibersihkan karyawan meninggal,,area kantor nokia menara mulia bersih karyawan tinggal
61,1,istana meresmikan pki diperbolehkan indonesia,,istana resmi pki boleh indonesia
62,1,menit riau tibatiba jakarta,,menit riau tibatiba jakarta
63,1,ketua kpu husni kamil mayatnya penuh bercak darah,,ketua kpu husni kamil mayat penuh bercak darah
64,1,rakyat cina kpu surabaya daftar dpt pemilu,,rakyat cina kpu surabaya daftar dpt milu
65,1,breaking news megawati mengundurkan ketua pdip,,breaking news megawati undur ketua pdip
66,1,ruslan buton dipecat tni tolak tka china,,ruslan buton pecat tni tolak tka china
67,1,geoge floyd tewas ditembak,,geoge floyd tewas tembak
68,1,puncak persebaran virus corona april april,,puncak sebar virus corona april april
69,1,jakarta daerah terinfeksi virus salah pilih gubernur,,jakarta daerah infeksi virus salah pilih gubernur
70,1,alkohol membunuh coronavirus,,alkohol bunuh coronavirus
71,1,foto kabah sepi thawaf virus corona,,foto kabah sepi thawaf virus corona
72,1,air rebusan bawang putih menyembuhkan virus corona,,air rebus bawang putih sembuh virus corona
73,1,jembatan jalan cemara medan roboh,,jembatan jalan cemara medan roboh
74,1,meninggalnya serda supran sida dikaitkan virus cacar monyet,,tinggal serda supran sida kait virus cacar monyet
75,1,tenaga medis china membantu menangani indonesia,,tenaga medis china bantu tangan indonesia
76,1,gedung kejaksaan agung terbakar lbp pemutihan koruptor,,gedung jaksa agung bakar lbp mutih koruptor
77,1,video biadab banget perlakuan jenazah muslim,,video biadab banget laku jenazah muslim
78,1,sehari rapid test santri kudus santri sadarkan,,hari rapid test santri kudus santri sadar
79,1,ide alquran nusantara sdh direalisasikan,,ide alquran nusantara sdh realisasi
80,1,aseng pake no seri mobil china,,aseng pake no seri mobil china
81,1,mahasiswa uinsu meninggal dunia melaksanakan demo kota medan,,mahasiswa uinsu tinggal dunia laksana demo kota medan
82,1,sri mulyani dana haji rp triliun menutupi defisit bpjs,,sri mulyani dana haji rp triliun tutup defisit bpjs
83,1,kyai mengakui kubu curang ya,,kyai aku kubu curang
84,1,santunan kecelakaan jasa raharja persen,,santun celaka jasa raharja persen
85,1,munir dibunuh prabowo bersalah,,munir bunuh prabowo salah
86,1,gambar perjuangan fpi melawan penjajah belanda,,gambar juang fpi lawan jajah belanda
87,1,tangkapan layar wapres menyebut idul adha dimaknai menyembelih qurban,,tangkap layar wapres sebut idul adha makna sembelih qurban
88,1,klaim hadi pranoto,,klaim had pranoto
89,1,artikel cium janda menit perpanjang umur faktanya,,artikel cium janda menit panjang umur fakta
