,label,text,databersih
0,1.0,Pemakaian Masker Menyebabkan Penyakit Legionnaires A caller to a radio talk show recently shared that his wife was hospitalized n told she had COVID n only a couple of days left to live . A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . Turns out it WAS legionnaires disease from the moisture n bacteria in her mask . She was given antibiotics n within two days was better . WHAT IF these ‘spikes’ in COVID are really something else due to ‘mask induced infections’ .??🤔🤔🤔,masker sakit legionnaires caller radio talk show recently shared that his wife was hospitalized told she had covid only couple days left live doctor friend suggested she tested for legionnaires disease she wore same mask every day all day long turns out was legionnaires disease from moisture bacteria her mask she was given antibiotics within two days was better what these spikes covid are really something else due mask induced infections
1,1.0,"Foto Jim Rohn: Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia. Jim Rohn, motivator terbaik dunia",jim rohn jokowi presiden dlm sejarah bangsa indonesia jokowi presiden dlm sejarah bangsa indonesia jim rohn motivator dunia
2,1.0,"ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. Maaf Mas2 dan Mbak2, ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. 11ribu Triliun siap di bawa balik ke Indonesia.RUU Treaty on Mutual Legal Assistance in Criminal Matters between the Republic of Indonesia and The Swiss Confederation (MLA RI-Swiss) resmi disahkan DPR RI tanggal 3 juli 2020. Dengan demikian proses konstitusi menarik dana di Swiss sudah selesai. Perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. Terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke Indonesia. Tanpa anda nyinyir, rasanya sulit RUU itu bisa disahkan oleh DPR. Pemilik 84 rekening gendut siap siap gigit jari . Mungkin tekanan ke Pak Jokowi makin kencang. ini baca beritanya",politik nyata jokowi hasil pulang triliun uang negara swiss maaf mas 2  mbak 2  politik nyata jokowi hasil pulang triliun uang negara swiss  11 ribu triliun bawa indonesia ruu treaty mutual legal assistance criminal matters between republic indonesia and swiss confederation mla ri-swiss resmi sah dpr tanggal juli  2020  proses konstitusi tarik dana swiss selesai juang hadap koruptor bersenggama agama terimakasih kadrun nyinyirian uang triliun indonesia nyinyir sulit ruu sah dpr milik rekening gendut gigit jari tekan jokowi kencang baca berita
3,1.0,MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI! LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,kuasa negri lihat kuasa negri
4,1.0,Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari Italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,presiden italia menang lahan kubur  700 an korban corona italia fasilitas awat sehat canggih gagal kendali corona anggap lelucon presiden menang lahan kubur  700 an korban corona  700 
5,1.0,"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan Polisi goblok. Bukanya cpet” d tolongin malah d liati aja",kapolres timor utara nusa tenggara timur klarifikasi kait video polisi diam korban celaka polisi goblok buka cpet tolongin liat
6,1.0,Corona adalah hoaks CORONA IS A HOAX,corona hoaks corona hoax
7,1.0,Mulan Jameela Undur Diri dari DPR RI Nah Mundur lebih terhormat daripada di pecat !! Hayo yang lain Monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya ..!!!,mulan jameela undur dpr mundur hormat pecat hayo monggo undur sanggup becus kerja
8,1.0,Presiden Cina Xi Jinping Mengunjungi Masjid dan Meminta Umat Islam Berdoa Untuk Negeri yang Sedang Dilanda Krisis Presiden Cina xi jinping mengunjungi masjid dan meminta umat Islam untuk berdoa di negara yang sedang dilanda krisis ini. Kami membutuhkan bantuan Anda.,presiden cina jinping unjung masjid umat islam doa negeri landa krisis presiden cina jinping unjung masjid umat islam doa negara landa krisis bantu
9,1.0,Video Jokowi Mulai Pucat SBY Ungkap Pelaku Korupsi ‘JOKOWI MULAI PUC4T’ SBY UNGK4P P3L4KU K0rup51 Jiwasraya Diduga Orang Belakang JOKOW1 (HEBOH),video jokowi pucat sby laku korupsi jokowi puc 4 t sby ungk 4 p p 3 l 4 ku k 0 rup 51  jiwasraya duga jokow 1  heboh
