ngirim: kirim
name : nama
gud : good
karna : karena
dah : sudah
tapi : tetapi
banget : sekali
eror : error
gaje : tidak jelas
udh : sudah
yg : yang
ribettttt : sulit
tgl : tanggal
bakal : akan
woiiii : woi
karna : karena
gk : tidak
gak : tidak
pdahal : padahal
sdh : sudah
brg : barang
udah sudah
hr : hari
sy : saya
dtg : datang
lebihh : lebih
buat : untuk
nanyain : menanyakan
cs : customer service
gmn : bagaimana
burukkkkkk : buruk
sm : dengan
bgt : sekali
bener2 : benar-benar
pas : tepat
mau : ingin
skincareku : skincare aku
kemaren : kemarin
suruh : perintah
jelasss : jelas
recomented : recommended
ngehabisin : menghabiskan
tpi : tetapi
aja : saja
bikin : membuat
baguss : bagus
malah : menjadi
mendingan : lebih baik
skrg : sekarang
ga : tidak
kluar2 : keluar-keluar
kaya : seperti
cm : hanya
klo : kalau
bs : bisa
d : di
kranjang : keranjang
biar : supaya
lg : lagi
klo2 : kalau
pgn : ingin
liat : melihat
sblm : sebelum
beli : membeli
trs : terus
dlu : dahulu
bgtt : sekali
nutup : menutup
ngga : tidak
ngeliat : melihat
orang2 : orang-orang
kaget : terkejut
x : kali
lancar2 : lancar-lancar
brngnya : barang
jg : juga
sampenya : sampai
lumyan : lumayan
cpt : cepat
qo : kok
nambah : ditambah
mantep : mantap
ok : oke
agak : sedikit
kadang : terkadang
berulang2 : berulang-ulang
engga : tidak
n : dan
pake : pakai
sopipay : shopeepay
trus : lalu
tiba2 : tiba-tiba
org : orang
jd : menjadi
kesellll : kesal
wowwww : wah
maxasih : terima kasih
masi : masih
cuman : hanya
nggak : tidak
tsb : tersebut
wa : whatsapp
& : dan
gw : saya
tp : tetapi
to : kok
cuma : hanya
e-mail : email
tdk : tidak
knp : mengapa
tbtb : tiba-tiba
freongx : free ongkir
ngiler : tertarik
z : saja
lagiii : lagi
Dahlahhhhhhh : sudah
ksh : kasih
krna : karena
bru : baru
produk2 : produk-produk
dlm : dalam
bner2 : benar-benar
smpe : sampai
dgn : dengan
agar : supaya
slalu : selalu
malu-maluin : memalukan
ambil : mengambil
giliran : saat
kemaruk : rakus
kena : mendapatkan
emang : memang
wkwkkwk : tertawa
doyan : suka
begini : seperti
yakali : bagaimana bisa
aga : sedikit
uda : sudah
gitu : begitu
yaa : ya
nunda* : menunda
barangny : barang
ehh : eh
blm : belum
